tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id,isim,cinsiyet,yas,sehir,harcama_miktari
02/07/2023,P032,Mouse,Elektronik,1207.3,13,15694.9,9225,Masume,Kadın,35,İstanbul,3588.15
11/02/2024,P011,Kalem,Kırtasiye,237.14,16,3794.24,3955,Fenni,Kadın,64,Konya,3742.46
06/03/2023,P024,Bilgisayar,Elektronik,1024.29,9,9218.61,2367,Feyruz,Kadın,45,Bursa,197.55
11/04/2024,P063,Klima,Elektronik,1477.88,9,7520.75939059395,2869,Ülke,Kadın,43,İstanbul,3662.18
08/01/2024,P063,Klima,Elektronik,949.43,19,18039.17,9724,Tonguç,Erkek,41,Bursa,2536.2
20/06/2023,P037,Fırın,Ev Aletleri,266.4,10,2664.0,7948,Mazlum,Kadın,38,Konya,4031.3
22/08/2023,P082,Defter,Kırtasiye,1290.3,8,10322.4,4184,Güverçin,Kadın,67,Adana,3812.79
11/05/2024,P063,Klima,Elektronik,627.78,17,10672.26,1522,Baba,Erkek,52,Antalya,4795.75
26/07/2024,P010,Çanta,Giyim,749.39,8,5995.12,5504,Toktuğ,Erkek,61,Adana,3249.57
15/03/2023,P082,Defter,Kırtasiye,193.65,16,3098.4,1722,Hanbiken,Erkek,67,Ankara,4897.38
26/04/2023,P037,Fırın,Ev Aletleri,362.96,15,5444.4,2678,Akatay,Kadın,35,Bursa,2964.43
19/05/2024,P011,Kalem,Kırtasiye,577.19,16,9235.04,9408,Gilman,Kadın,67,İzmir,2608.97
20/03/2024,P024,Bilgisayar,Elektronik,1302.35,7,9116.45,2863,Taşkan,Erkek,55,Antalya,759.2
01/09/2023,P063,Klima,Elektronik,270.14,13,3511.82,6923,Goncafer,Erkek,64,İzmir,316.98
11/03/2023,P010,Çanta,Giyim,990.12,10,9901.2,4678,Alışık,Kadın,60,Ankara,2644.5
08/06/2024,P082,Defter,Kırtasiye,1221.37,6,7520.75939059395,4666,Gökçe,Kadın,35,Gaziantep,1259.77
27/12/2023,P097,Su Şişesi,Mutfak Ürünleri,976.99,19,18562.81,4778,Yosma,Erkek,22,Antalya,3485.45
25/10/2023,P011,Kalem,Kırtasiye,1245.33,18,22415.94,2043,Hurşide,Kadın,48,Bursa,4410.52
01/05/2024,P082,Defter,Kırtasiye,682.11,9,6138.99,6732,Gülüs,Kadın,53,İstanbul,1787.68
21/09/2024,P082,Defter,Kırtasiye,1117.5,1,1117.5,7103,Üsame,Kadın,58,Gaziantep,509.31
03/02/2023,P097,Su Şişesi,Mutfak Ürünleri,455.04,4,1820.16,1361,Emal,Kadın,66,İzmir,4547.11
27/10/2023,P010,Çanta,Giyim,1207.15,10,12071.5,8626,Feyzin,Kadın,30,İstanbul,4078.5
03/11/2023,P097,Su Şişesi,Mutfak Ürünleri,324.84,2,649.68,9754,Sevcan,Kadın,20,Bursa,4006.39
16/09/2024,P032,Mouse,Elektronik,926.76,3,2780.28,4046,Okbay,Kadın,35,İzmir,4979.71
14/10/2024,P097,Su Şişesi,Mutfak Ürünleri,921.73,12,11060.76,3883,Macide,Erkek,18,Konya,4839.13
25/12/2023,P087,Kulaklık,Elektronik,1074.51,3,3223.53,2144,Dorukhan,Erkek,59,Konya,3982.77
30/05/2023,P024,Bilgisayar,Elektronik,78.34,7,548.38,3393,Özgün,Erkek,36,Konya,4060.86
31/03/2024,P082,Defter,Kırtasiye,420.9,3,7520.75939059395,7110,Feza,Kadın,32,Ankara,3817.64
01/02/2023,P011,Kalem,Kırtasiye,740.2,8,5921.6,9977,Işın,Kadın,30,Antalya,2255.52
21/11/2023,P087,Kulaklık,Elektronik,1265.21,18,22773.78,2161,Canseven,Erkek,61,Gaziantep,3711.58
20/05/2023,P087,Kulaklık,Elektronik,1487.71,14,20827.94,5038,Şahnuray,Kadın,40,İstanbul,897.19
08/11/2023,P063,Klima,Elektronik,1142.15,3,7520.75939059395,9142,Yetişal,Kadın,18,Antalya,3823.04
08/05/2024,P024,Bilgisayar,Elektronik,839.93,10,8399.3,8147,Yahşi,Kadın,34,Konya,2472.0
03/10/2024,P082,Defter,Kırtasiye,805.94,5,4029.7,8258,Arıkol,Erkek,56,İzmir,1403.54
21/08/2023,P018,Telefon,Elektronik,682.65,14,9557.1,9548,Güngördü,Erkek,19,Bursa,1384.06
18/02/2024,P097,Su Şişesi,Mutfak Ürünleri,489.8,7,3428.6,2822,Hıfzullah,Kadın,32,Bursa,3791.99
03/03/2024,P037,Fırın,Ev Aletleri,751.52,18,13527.36,9665,Ayaydın,Kadın,30,İzmir,3869.36
28/11/2022,P018,Telefon,Elektronik,1272.82,15,19092.3,5689,Arısoy,Erkek,32,Ankara,4367.52
28/09/2023,P011,Kalem,Kırtasiye,916.33,13,11912.29,1592,Şirivan,Erkek,50,Bursa,3489.29
15/05/2023,P010,Çanta,Giyim,1145.39,4,4581.56,7751,Tandoğdu,Kadın,56,Bursa,4868.87
24/05/2024,P010,Çanta,Giyim,352.22,18,7520.75939059395,7099,Mihriye,Erkek,20,Konya,2188.39
18/06/2023,P097,Su Şişesi,Mutfak Ürünleri,444.14,6,2664.84,1496,Durgadin,Erkek,37,Antalya,3392.56
22/03/2024,P024,Bilgisayar,Elektronik,1081.54,1,1081.54,2618,Nurveren,Kadın,22,Gaziantep,2026.98
18/04/2024,P063,Klima,Elektronik,527.11,16,8433.76,7734,Özbay,Kadın,29,Gaziantep,3803.52
20/01/2023,P024,Bilgisayar,Elektronik,1187.65,5,5938.25,9363,Şahat,Kadın,29,Adana,3402.42
08/09/2024,P082,Defter,Kırtasiye,703.97,3,2111.91,3933,Karakucak,Kadın,20,Konya,361.41
08/05/2023,P037,Fırın,Ev Aletleri,976.12,5,4880.6,7704,Atalay,Kadın,64,Bursa,2432.26
18/02/2024,P032,Mouse,Elektronik,1234.59,13,7520.75939059395,4787,Canur,Kadın,22,İstanbul,2993.8
21/11/2022,P032,Mouse,Elektronik,946.98,5,4734.9,1752,Çelikkan,Erkek,64,Adana,997.89
08/08/2023,P037,Fırın,Ev Aletleri,1111.47,10,11114.7,9608,Erseç,Kadın,45,İstanbul,3815.92
27/03/2023,P018,Telefon,Elektronik,1215.91,7,8511.37,5355,Ecemiş,Kadın,46,Gaziantep,3854.7
22/04/2024,P082,Defter,Kırtasiye,703.04,9,6327.36,9023,Menişan,Kadın,62,Bursa,3631.84
01/08/2023,P032,Mouse,Elektronik,244.96,9,2204.64,5903,Hüryaşar,Kadın,68,Gaziantep,4761.83
12/09/2023,P082,Defter,Kırtasiye,239.63,1,239.63,2829,Nurşan,Erkek,55,İzmir,3198.23
19/04/2023,P011,Kalem,Kırtasiye,317.39,1,317.39,2585,Taşkan,Kadın,29,Konya,4139.82
09/07/2024,P082,Defter,Kırtasiye,576.29,11,6339.19,5447,Hazine,Erkek,20,Ankara,2073.91
31/12/2023,P018,Telefon,Elektronik,745.74,5,3728.7,7228,Gülter,Kadın,30,Gaziantep,2535.54
22/02/2023,P082,Defter,Kırtasiye,984.53,15,14767.95,6465,Atalay,Erkek,56,Gaziantep,4676.05
27/11/2023,P082,Defter,Kırtasiye,728.85,8,5830.8,6967,Sümeyye,Erkek,61,Ankara,1139.03
